,alpha,beta,marketCap,fontSize
FB,0.028027088233251306,0.042988747539412286,869936988160.0,17.33489493137634
JNJ,0.006034856919014303,0.7818289242590067,427130880000.0,10.074639105911823
GOOGL,0.008943298776631933,1.0320204754673865,1543801012224.0,28.383579933964036
AAPL,-0.0027082728024630104,1.2936099475632559,2252291440640.0,40.0
AMZN,0.012792526376386705,1.2634894852553682,1713715412992.0,31.169499087456014
AMGN,0.007672629313056017,0.9121986838015065,147238322176.0,5.485516381544161
T,0.003208364139940692,0.5634227135229795,213796880384.0,6.576811535470863
XOM,-0.004053770155098258,0.8926815334464151,239871246336.0,7.004327244513204
ORCL,-0.0017148491958426354,1.0610226302073587,227655467008.0,6.804037136959732
GE,0.0014769840067525074,1.1617079670715134,117626470400.0,5.0
PG,0.002279437044221553,0.6123934357642515,337975377920.0,8.612844109365282
IBM,-0.008878269956692376,0.8675662070212878,119375216640.0,5.028672470506282
JPM,0.0062867894267719425,1.25804473044868,464054419456.0,10.680038032196121
KO,-0.0007682728325026964,0.5377890517297529,231323762688.0,6.864182569891797
PEP,0.00452442975345049,0.6310181792458253,199175782400.0,6.33708378588285
BAC,0.008743269302478155,1.4694564971738058,336287924224.0,8.585176592362199
CSCO,0.002277071038561623,1.1686943443190003,222910513152.0,6.726238799855184
